FileHelpers - Errors Saved at 09 July 2015 13:04:26
LineNumber | LineString |ErrorDescription
2894|2891,0,7 May 2015 11:38:31,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2894. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2900|2897,0,7 May 2015 11:38:37,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2900. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2906|2903,0,7 May 2015 11:38:43,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2906. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3091|3088,0,7 May 2015 11:41:48,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3091. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3097|3094,0,7 May 2015 11:41:54,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3097. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3288|3285,0,7 May 2015 11:45:05,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3288. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3294|3291,0,7 May 2015 11:45:11,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3294. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3485|3482,0,7 May 2015 11:48:22,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3485. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3491|3488,0,7 May 2015 11:48:28,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3491. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3676|3673,0,7 May 2015 11:51:33,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3676. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3682|3679,0,7 May 2015 11:51:39,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3682. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3688|3685,0,7 May 2015 11:51:45,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3688. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3824|3821,0,7 May 2015 11:54:05,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3824. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3923|3920,0,7 May 2015 11:56:38,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3923. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3929|3926,0,7 May 2015 11:56:44,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3929. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
3935|3932,0,7 May 2015 11:56:50,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 3935. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4259|4256,2,7 May 2015 12:02:14,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4259. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4265|4262,2,7 May 2015 12:02:20,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4265. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4334|4331,0,7 May 2015 12:03:35,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4334. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4335|4332,0,7 May 2015 12:03:46,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4335. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4341|4338,0,7 May 2015 12:04:36,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4341. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4372|4369,0,7 May 2015 12:05:07,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4372. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4378|4375,0,7 May 2015 12:05:13,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4378. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
4678|4675,0,7 May 2015 12:10:13,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 4678. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
